,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base,Taker buy quote,Ignore,Close_1n,Close_2n,Close_3n,Close_4n,Close_5n,Close_6n,Close_7n,clust,Close_n1
169,20180720,7468.86,7700.0,7273.0,7337.53,46140.313447,1532131199999,342862693.0959096,251391,24006.584622,178428687.4942052,0,7466.21,7381.9,7317.44,6723.35,6353.01,6251.99,6214.57,1,7398.78
594,20201221,23455.54,24102.77,21815.0,22719.71,88030.297243,1608595199999,2035446293.9289708,1593949,41983.046103,971417184.6896445,0,23455.52,23821.61,23107.39,22797.16,21335.52,19426.43,19273.14,2,23810.79
140,20180616,6380.01,6560.0,6320.86,6483.98,22277.241147,1529193599999,143760033.69408152,140470,12750.635784,82290350.53863607,0,6388.9,6635.98,6292.78,6530.0,6872.0,6764.99,7491.73,1,6449.61
173,20180724,7721.65,8486.0,7696.0,8397.24,60121.163749,1532476799999,487117211.68189824,326329,32980.508325,266991169.60952124,0,7721.01,7394.79,7398.78,7337.53,7466.21,7381.9,7317.44,1,8175.64
6,20170910,4258.81,4283.0,3801.0,4130.37,660.373275,1505087999999,2700371.80819211,3435,291.786887,1193884.03650449,0,4258.81,4282.8,4691.61,4619.77,4366.47,4100.11,4509.08,1,4208.47
584,20201210,18541.29,18557.32,17911.12,18254.63,52890.675094,1607644799999,966149529.000607,891151,25604.608069,467840780.52674687,0,18541.28,18324.11,19166.9,19359.4,19147.66,18650.52,19421.9,2,18036.53
405,20190903,10340.0,10773.0,10272.0,10615.28,47998.376781,1567555199999,505617667.3992669,416076,24734.303264,260488377.88812712,0,10340.0,9724.98,9587.47,9584.54,9498.44,9721.0,10185.05,2,10567.02
73,20180306,11455.0,11455.0,10555.48,10716.48,29515.572363,1520380799999,323842216.64859617,250306,13482.297196,147874120.62232068,0,11454.0,11515.0,11464.48,11039.0,10920.0,10326.76,10569.04,1,9910.0
621,20210120,35901.94,36415.31,33400.0,35468.23,89368.422918,1611187199999,3126721093.520776,2234539,42546.634077,1489289968.43647,0,35891.49,36631.27,35828.61,35994.98,36742.22,39144.5,37371.38,2,30850.13
398,20190827,10373.6,10391.08,10051.08,10185.05,28402.775383,1566950399999,289340681.0789518,292888,13852.442138,141207845.02919284,0,10372.25,10142.69,10134.35,10389.55,10099.88,10142.57,10760.51,1,9721.0
467,20200329,6236.65,6266.0,5866.56,5881.42,63311.627714,1585526399999,383707122.50096285,496709,29080.967922,176336037.90451324,0,6236.65,6359.11,6737.36,6677.43,6744.72,6467.31,5816.19,2,6394.38
145,20180623,6045.92,6260.0,6008.48,6149.98,26622.788589,1529798399999,162755765.84514263,170164,15110.741399,92413061.16412096,0,6045.0,6718.84,6761.51,6741.21,6712.46,6449.61,6483.98,1,6136.97
234,20181208,3403.57,3495.0,3222.0,3410.93,55365.949949,1544313599999,187909876.24894735,253650,29371.741091,99748773.25286004,0,3403.55,3508.75,3769.84,3951.64,3884.01,4161.01,4190.02,1,3545.37
220,20181028,6505.6,6514.17,6453.0,6489.93,5743.933728,1540771199999,37298357.26271342,71647,2728.508889,17719438.99521591,0,6505.6,6538.63,6528.09,6565.5,6553.51,6581.2,6590.11,1,6344.5
380,20190803,10523.75,10904.77,10497.93,10816.86,33802.318824,1564876799999,363852799.8717801,348893,18132.529707,195125820.47946516,0,10523.75,10374.99,10080.53,9574.21,9507.64,9541.54,9476.52,1,10929.23
436,20191118,8502.87,8503.52,8060.0,8187.17,43017.69094,1574121599999,358706174.8252184,366263,20525.116924,171255974.96099597,0,8502.4,8491.02,8471.73,8646.68,8777.12,8821.94,8733.27,2,8133.64
132,20180602,7521.01,7697.33,7437.0,7640.03,26720.690219,1527983999999,203370447.69065264,290131,15540.051124,118295998.95554544,0,7521.01,7485.01,7375.96,7461.29,7099.0,7338.99,7333.96,1,7714.26
588,20201214,19174.99,19349.0,19000.0,19273.14,47257.201294,1607990399999,906101687.739595,842382,22657.463401,434506325.32761055,0,19174.99,18808.69,18036.53,18254.63,18541.28,18324.11,19166.9,2,19426.43
332,20190605,7687.04,7896.7,7572.78,7776.5,48679.656455,1559779199999,377635818.0044095,426120,26296.533959,204082647.8767332,0,7687.03,8115.82,8725.98,8544.07,8555.0,8269.54,8645.68,1,7786.7
185,20180807,6935.0,7150.46,6670.0,6720.06,45438.473501,1533686399999,316365882.1031662,247202,24012.696862,167343592.15417215,0,6934.82,7024.19,7009.84,7418.78,7525.71,7604.58,7730.93,1,6285.0
41,20171124,8019.97,8369.0,7850.0,8138.0,4411.789112,1511567999999,35840264.45804051,19754,2166.425275,17613353.73937526,0,8019.99,8205.92,8119.51,8212.0,8038.0,7761.94,7699.19,1,8700.01
554,20201101,13791.0,13895.0,13603.0,13761.5,36285.648526,1604275199999,499124369.0753264,606248,17839.54476,245432626.6153179,0,13791.0,13560.1,13455.7,13266.4,13636.17,13052.19,13028.83,2,13549.37
108,20180430,9417.04,9458.64,9124.99,9246.01,35002.033875,1525132799999,325019389.2499412,285951,17461.189029,162179073.43816054,0,9419.0,9348.0,8915.35,9266.0,8869.99,9619.99,8934.01,1,9071.48
432,20191114,8777.54,8800.0,8582.6,8646.68,33468.468961,1573775999999,290104306.9530332,337019,16272.816785,141092283.63703057,0,8777.12,8821.94,8733.27,9039.47,8809.41,8773.73,9216.2,2,8471.73
56,20171223,13326.61,14950.0,12978.18,13300.0,13141.538875,1514073599999,184759685.33206663,135005,6547.667326,92098774.4608775,0,13326.61,15492.64,16488.98,17295.2,18856.25,18860.02,19102.66,1,13500.0
718,20211128,54716.47,57445.05,53256.64,57274.88,36163.7137,1638143999999,1982198373.5328348,1253408,18520.69985,1016073216.5947642,0,54721.03,53726.53,58960.36,57138.29,57541.27,56247.18,58622.02,2,57776.25
595,20201222,22719.88,23837.1,22353.4,23810.79,87033.12616,1608681599999,2010758620.2435267,1496277,42681.326708,986428672.7376072,0,22719.71,23455.52,23821.61,23107.39,22797.16,21335.52,19426.43,2,23232.76
527,20200924,10241.46,10795.24,10190.93,10736.32,57676.619427,1600991999999,604520870.055638,789282,27946.804325,292936072.9870462,0,10241.46,10529.61,10417.22,10920.28,11080.65,10933.39,10939.99,2,10686.67
24,20171027,5861.77,5980.0,5649.24,5768.83,1403.706416,1509148799999,8167069.73635031,8305,624.087409,3639525.74476665,0,5861.77,5689.99,5477.03,5915.93,5950.02,6024.97,6010.01,1,5719.64
360,20190709,12238.6,12794.73,12068.0,12543.41,78442.130343,1562716799999,975986802.0300353,660273,40993.911974,508388352.3604959,0,12238.6,11406.24,11256.49,10970.73,11145.67,11940.0,10842.85,1,12108.37
687,20210805,39723.17,41350.0,37332.7,40862.46,84343.755621,1628207999999,3314527738.3397326,1913281,41673.129081,1638359889.802016,0,39723.18,38207.05,39147.82,39845.44,41461.83,42206.37,40016.48,2,42836.87
447,20191202,7391.5,7420.56,7151.1,7294.28,46330.25604,1575331199999,337889295.51018095,326881,24043.616393,175417845.96777073,0,7390.89,7541.89,7739.68,7419.49,7508.52,7156.14,7109.57,3,7292.71
51,20171218,18860.04,19300.0,17029.98,18856.25,10624.633071,1513641599999,196339245.745198,91956,4690.302146,86666689.06405357,0,18860.02,19102.66,17539.83,16334.98,16033.29,16349.99,16587.97,1,17295.2
779,20220624,21110.12,21558.41,20736.72,21237.69,77430.36622,1656115199999,1635129191.170251,1309709,38582.36962,815027131.3205568,0,21110.13,19987.99,20723.52,20573.89,20574.0,18970.79,20468.81,3,21491.19
829,20221224,16778.52,16869.99,16776.62,16836.12,100224.29096,1671926399999,1686757294.9926343,3076985,49578.22304,834395051.2711908,0,16778.5,16821.43,16824.67,16895.56,16438.88,16738.21,16776.52,3,16832.11
576,20201130,18185.0,19863.16,18184.99,19695.87,115463.466888,1606780799999,2205929119.505336,1744149,61033.414903,1166943549.1842444,0,18184.99,17719.85,17139.52,17149.47,18719.11,19160.01,18368.0,2,18764.96
264,20190218,3667.62,3925.0,3655.0,3898.6,64042.730492,1550534399999,242898012.76922593,393515,33934.973171,128779026.65413164,0,3667.58,3618.41,3602.47,3590.56,3609.4,3631.46,3631.05,1,3907.79
449,20191229,7315.36,7528.45,7288.0,7388.24,31387.106085,1577663999999,231731575.8282169,283213,15999.777828,118139507.92862746,0,7316.14,7254.74,7202.0,7204.63,7255.77,7317.09,7501.44,2,7246.0
620,20210119,36622.46,37850.0,35844.06,35891.49,79611.307769,1611100799999,2935348499.344214,1939371,38704.68162,1428235709.8519692,0,36631.27,35828.61,35994.98,36742.22,39144.5,37371.38,34051.24,2,35468.23
633,20210221,55841.19,58352.8,55477.59,57408.57,58166.708511,1613951999999,3317998263.347889,1950533,29506.089085,1683107088.1573696,0,55841.19,55906.0,51552.6,52119.71,49133.45,47911.1,48577.79,2,54087.67
361,20190710,12548.51,13147.08,11569.0,12108.37,109246.044997,1562803199999,1369749939.9675035,899391,46964.760907,588798251.124835,0,12543.41,12238.6,11406.24,11256.49,10970.73,11145.67,11940.0,1,11342.89
18,20171010,4786.95,4960.0,4680.59,4783.06,1043.221773,1507679999999,5044283.86347582,11967,678.832674,3289613.76073974,0,4786.95,4640.0,4423.0,4369.0,4292.43,4208.59,4310.0,1,4821.43
650,20210405,58202.01,59272.0,56777.77,59129.99,54258.01579,1617667199999,3155214764.164485,2035877,27269.49269,1586344787.5541687,0,58202.01,57051.94,58950.01,58720.44,58740.55,58746.57,57635.47,2,57991.15
516,20200822,11531.23,11686.0,11376.81,11662.96,43678.701646,1598140799999,504305451.410864,809328,21605.070922,249466430.9099906,0,11531.34,11853.55,11754.59,11945.01,12281.13,11911.0,11852.4,2,11648.13
451,20200101,7195.24,7255.0,7175.15,7200.85,16792.388165,1577923199999,121214452.11606228,194010,8946.955535,64597785.21233434,0,7195.23,7246.0,7388.24,7316.14,7254.74,7202.0,7204.63,2,6965.71
