"","advertise","buy","join","wallet","get","start","price","last","day","ope","feature","payment","miss","exchange","latest","article","continue","bitcoincom","cryptocurrency","also","trading","digital","currency","community","bitcoins","new","follow","announce","user","year","financial","market","world","platform","people","money","popular","blockchain","asset","launch","first","use","one","case","technology","service","add","support","make","say","fund","bank","transaction","satoshi","month","trade","see","cash","call","million","company","daily","mining","security","featured","update","change","project","focus","government","App","message","finance","telegram","increase","create","deliver","show","network","report","investor","coin","offer","crypto","good","regulation","revolution","btc","week","plan","comment","cryptocurrencies","token","Indian","miner","feed","hour","ago","search","bch","clust"
"X20190528",5,0,0,11,0,0,122,78,208,17,47,34,0,10,1,0,22,32,36,0,16,63,0,0,0,35,0,0,0,12,0,269,12,10,0,0,3,0,63,34,11,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,16,113,0,0,0,34,0,0,1,160,0,0,7,0,0,0,0,0,0,21,0,24,0,0,12,10,0,115,0,0,5,2,0,0,7,16,0,0,0,6,127,288,7,24,"2"
"X20190524",5,24,0,0,0,0,132,78,274,17,3,11,0,0,1,0,22,22,49,0,26,63,10,12,0,12,0,0,0,12,0,302,22,0,0,0,3,0,73,24,20,0,21,0,12,0,10,0,0,12,0,0,20,5,0,0,26,111,0,0,0,46,0,22,0,182,0,12,7,0,0,0,0,0,0,10,0,25,0,0,0,12,0,115,0,44,5,12,0,10,7,16,10,11,0,6,105,320,7,32,"2"
"X20190525",5,22,0,0,0,0,122,78,258,17,26,12,0,11,1,0,22,24,27,0,49,63,10,0,0,12,0,12,0,0,0,327,12,23,0,0,3,0,73,36,10,11,10,0,11,0,10,0,0,0,0,0,10,5,0,0,16,82,0,0,0,44,0,21,1,161,0,12,7,0,0,0,0,0,0,10,0,24,0,0,0,22,11,126,12,22,5,12,0,10,7,16,10,0,0,6,93,304,7,22,"2"
"X20190526",5,22,0,0,0,0,121,78,247,17,48,22,0,11,1,0,22,33,37,0,26,63,10,0,0,12,0,0,0,0,0,290,12,10,0,0,3,0,85,45,10,11,10,12,11,0,10,0,0,0,0,0,0,5,11,0,16,124,0,0,0,34,0,21,1,161,0,12,7,0,0,0,0,0,0,10,0,24,0,0,0,23,0,118,12,35,5,2,11,10,7,16,10,12,0,6,104,315,7,12,"2"
"X20190523",5,23,0,0,11,0,134,78,235,17,2,0,0,11,1,0,22,34,38,0,26,74,12,0,0,12,0,0,0,0,0,306,33,0,0,0,3,0,85,12,30,0,10,0,0,22,10,11,0,10,0,0,31,5,0,0,26,120,0,0,0,45,10,10,1,184,0,24,7,0,0,0,0,0,0,10,0,26,0,0,0,12,24,94,0,11,5,12,0,24,7,28,10,0,0,6,120,308,7,55,"2"
"X20201027",5,10,0,0,10,37,43,12,343,0,47,10,50,26,2,0,21,14,15,0,0,35,15,0,15,28,0,0,21,0,47,80,0,12,0,0,3,0,23,21,0,11,0,61,0,0,0,0,16,50,42,0,24,5,12,0,45,31,16,44,0,0,0,0,1,0,10,24,17,0,0,0,116,0,11,0,0,12,0,0,47,0,0,81,15,32,5,10,0,0,7,10,12,0,0,6,79,400,7,11,"1"
"X20200822",0,0,0,12,37,0,10,27,318,0,2,12,60,12,2,0,6,0,44,0,16,64,23,0,0,0,15,0,0,10,12,70,0,0,0,11,14,0,42,47,0,0,22,60,0,0,0,0,11,63,0,11,0,5,0,54,0,69,0,32,10,0,18,0,2,12,10,23,7,0,0,0,97,0,0,0,0,31,0,84,0,0,0,59,0,21,5,21,27,0,7,0,20,0,10,6,82,346,7,0,"1"
"X20201022",5,11,0,0,0,10,0,0,321,0,46,22,40,12,2,0,6,12,11,0,0,84,21,0,2,38,0,35,0,0,73,59,12,12,0,0,3,0,43,0,12,11,0,40,0,10,0,0,27,48,68,20,0,5,0,16,11,0,42,10,28,0,0,0,1,10,0,10,7,0,0,0,126,0,11,0,0,15,0,25,48,0,0,76,0,32,5,28,0,10,7,0,46,0,10,6,91,400,7,11,"1"
"X20201012",0,44,12,11,0,0,10,12,365,0,2,11,80,44,2,0,6,0,22,0,12,31,21,21,11,28,0,0,0,32,0,62,16,10,0,0,3,15,22,35,0,11,10,80,10,0,12,0,12,26,0,26,11,27,22,0,0,0,15,54,12,0,0,0,1,10,0,33,7,21,0,0,142,0,0,0,0,27,0,44,0,0,12,106,23,22,5,32,16,0,7,21,30,10,0,6,45,421,18,0,"1"
"X20190516",5,12,0,12,0,0,91,27,246,28,2,0,0,38,0,0,32,34,110,18,0,43,0,0,0,26,11,0,0,0,0,284,0,21,0,12,3,41,43,23,0,0,10,0,0,0,0,12,11,11,11,0,0,23,0,15,16,104,0,16,16,33,7,10,1,169,0,12,7,0,0,10,11,0,0,10,0,16,0,0,10,27,19,161,41,22,5,40,0,0,0,0,10,10,0,6,85,288,7,12,"2"
