,buy,wallet,bitcoin,get,start,price,last,day,ope,feature,global,payment,miss,exchange,latest,continue,bitcoincom,cryptocurrency,trading,digital,currency,bitcoins,new,follow,announce,large,user,year,financial,market,world,platform,money,blockchain,asset,launch,firm,first,use,one,case,big,technology,service,make,say,fund,central,bank,satoshi,month,reveal,trade,see,cash,million,company,mining,security,featured,update,jamie,redman,project,high,government,App,billion,finance,investment,create,mine,show,network,report,investor,coin,offer,crypto,regulation,revolution,btc,week,plan,cryptocurrencies,token,hour,ago,bch,Open time
20170806,8,39,472,18,7,41,0,225,0,0,15,0,11,71,15,0,33,56,31,0,0,52,50,28,0,11,28,0,26,55,7,36,17,85,0,14,0,72,38,31,11,11,11,40,35,0,60,10,30,0,0,11,0,0,170,0,21,11,0,0,46,0,0,0,0,24,10,0,0,25,0,10,0,71,0,0,0,0,0,10,0,14,14,22,0,28,73,205,28,20170817
20170823,14,80,640,36,7,0,0,167,11,0,0,10,11,185,5,0,39,12,25,42,96,14,0,0,14,48,10,28,51,85,51,0,7,32,0,46,0,96,10,21,11,14,36,28,36,14,0,85,75,0,11,14,11,0,100,24,21,35,0,0,24,0,0,11,0,24,10,0,0,0,0,26,0,14,14,0,11,0,11,37,0,0,14,0,0,0,106,249,0,20170823
20170830,14,32,423,10,21,39,0,132,11,0,28,0,11,183,1,14,70,94,62,0,21,28,73,28,11,10,25,24,28,88,17,0,7,0,14,48,37,56,35,7,11,0,0,0,24,34,24,0,35,0,0,0,86,0,44,10,49,22,14,0,53,0,0,0,81,39,44,11,28,0,14,14,14,0,14,11,14,39,25,35,0,28,14,38,42,11,141,249,0,20170830
20170902,14,32,460,36,18,10,14,180,11,0,0,0,11,66,5,37,60,73,25,14,75,28,46,0,25,10,38,42,25,24,7,21,7,39,0,10,14,17,49,44,11,14,0,36,0,0,14,0,10,0,37,0,10,14,61,11,35,24,0,0,10,0,0,0,10,31,10,0,0,74,0,15,14,51,43,10,0,14,10,34,0,14,39,15,0,11,69,249,14,20170902
20170903,14,32,460,36,18,10,14,180,11,0,0,0,11,66,5,37,60,73,25,14,75,28,46,0,25,10,38,42,25,24,7,21,7,39,0,10,14,17,49,44,11,14,0,36,0,0,14,0,10,0,37,0,10,14,61,11,35,24,0,0,10,0,0,0,10,31,10,0,0,74,0,15,14,51,43,10,0,14,10,34,0,14,39,15,0,11,69,249,14,20170903
20170905,14,32,380,40,32,79,0,130,11,0,0,11,11,108,5,10,60,42,22,26,50,54,39,14,25,14,0,14,24,73,7,10,21,23,0,11,0,7,21,31,21,26,0,10,0,43,0,35,49,0,38,0,0,0,21,14,7,43,40,0,37,0,0,0,40,0,10,0,0,10,0,0,0,10,67,0,28,0,0,88,0,28,26,11,0,11,105,249,0,20170905
20170910,14,54,487,21,7,12,28,154,11,12,11,28,11,70,5,0,71,76,26,11,0,14,116,0,24,0,14,0,42,62,7,38,7,61,0,44,0,7,21,7,11,0,0,11,14,0,10,0,24,0,14,0,0,0,114,0,35,11,10,0,0,0,0,10,0,26,10,0,26,14,24,32,0,40,0,10,10,0,26,62,0,0,14,14,40,14,95,249,0,20170910
20170912,14,53,471,20,21,0,14,120,11,12,28,57,11,31,1,0,71,52,11,0,0,14,80,0,42,0,0,0,42,35,7,28,7,50,0,69,0,7,35,7,11,0,23,12,0,0,0,0,0,0,14,0,0,0,103,0,18,64,0,0,0,0,0,10,0,10,10,0,11,14,10,54,0,40,14,0,11,15,65,10,0,0,14,14,11,14,104,238,0,20170912
20170916,50,43,464,24,22,21,0,180,11,12,0,28,11,208,1,15,85,138,49,25,14,14,21,0,42,14,10,0,14,81,7,39,7,11,0,14,14,18,21,7,11,0,0,14,14,0,26,0,14,0,25,0,11,14,36,0,7,0,0,0,20,0,0,11,0,56,10,31,14,0,14,0,0,15,0,11,0,15,10,22,0,0,0,39,0,22,58,238,0,20170916
20170918,50,43,464,24,22,21,0,180,11,12,0,28,11,208,1,15,85,138,49,25,14,14,21,0,42,14,10,0,14,81,7,39,7,11,0,14,14,18,21,7,11,0,0,14,14,0,26,0,14,0,25,0,11,14,36,0,7,0,0,0,20,0,0,11,0,56,10,31,14,0,14,0,0,15,0,11,0,15,10,22,0,0,0,39,0,22,58,238,0,20170918
20170919,37,43,479,24,19,47,0,142,11,0,0,15,11,131,1,26,85,81,50,25,14,14,35,0,14,15,0,14,0,69,7,11,7,25,0,0,14,32,21,7,11,0,14,0,0,0,11,14,14,0,12,0,25,0,94,0,7,0,14,0,10,14,0,11,28,0,10,31,28,0,0,0,0,26,14,11,0,54,0,35,0,0,0,38,28,22,82,238,14,20170919
20170926,14,64,261,24,7,10,10,130,11,0,0,0,11,97,5,0,82,187,28,28,56,14,46,0,11,26,0,0,43,10,7,10,47,39,14,47,11,21,32,21,23,0,42,14,40,38,0,0,39,21,43,0,0,10,10,37,32,11,14,0,10,0,0,0,0,75,38,0,0,10,0,32,0,0,0,0,28,0,47,77,21,0,10,0,40,0,97,227,0,20170926
20170928,14,64,261,24,7,10,10,130,11,0,0,0,11,97,5,0,82,187,28,28,56,14,46,0,11,26,0,0,43,10,7,10,47,39,14,47,11,21,32,21,23,0,42,14,40,38,0,0,39,21,43,0,0,10,10,37,32,11,14,0,10,0,0,0,0,75,38,0,0,10,0,32,0,0,0,0,28,0,47,77,21,0,10,0,40,0,97,227,0,20170928
20170930,25,42,385,10,7,37,0,165,11,0,0,0,11,112,5,15,50,39,14,0,89,14,25,0,0,0,0,0,15,36,7,0,7,0,14,11,10,32,10,35,25,0,0,0,14,0,0,35,24,35,11,0,34,25,35,0,28,10,54,0,11,0,0,36,0,0,10,0,0,61,0,0,0,14,14,14,50,0,11,0,63,14,10,11,0,14,73,238,0,20170930
20171002,25,42,385,10,7,37,0,165,11,0,0,0,11,112,5,15,50,39,14,0,89,14,25,0,0,0,0,0,15,36,7,0,7,0,14,11,10,32,10,35,25,0,0,0,14,0,0,35,24,35,11,0,34,25,35,0,28,10,54,0,11,0,0,36,0,0,10,0,0,61,0,0,0,14,14,14,50,0,11,0,63,14,10,11,0,14,73,238,0,20171002
20171003,25,42,425,10,7,37,14,153,11,12,0,0,11,82,5,11,50,35,28,0,46,14,93,0,0,0,0,0,25,37,7,0,7,0,0,40,10,32,10,7,11,0,0,0,0,0,0,21,10,21,11,0,24,25,21,0,18,42,25,0,11,0,0,11,0,14,10,0,11,61,14,14,0,0,70,14,11,0,38,37,31,14,0,11,0,11,71,238,0,20171003
20171004,25,42,425,10,7,37,14,153,11,12,0,0,11,82,5,11,50,35,28,0,46,14,93,0,0,0,0,0,25,37,7,0,7,0,0,40,10,32,10,7,11,0,0,0,0,0,0,21,10,21,11,0,24,25,21,0,18,42,25,0,11,0,0,11,0,14,10,0,11,61,14,14,0,0,70,14,11,0,38,37,31,14,0,11,0,11,71,238,0,20171004
20171005,25,42,425,10,7,37,14,153,11,12,0,0,11,82,5,11,50,35,28,0,46,14,93,0,0,0,0,0,25,37,7,0,7,0,0,40,10,32,10,7,11,0,0,0,0,0,0,21,10,21,11,0,24,25,21,0,18,42,25,0,11,0,0,11,0,14,10,0,11,61,14,14,0,0,70,14,11,0,38,37,31,14,0,11,0,11,71,238,0,20171005
20171010,24,42,350,22,21,0,14,141,11,0,11,37,11,28,5,0,71,63,10,0,0,40,45,0,28,10,14,11,0,40,33,25,17,0,0,10,40,39,59,7,11,0,0,51,38,14,14,26,26,41,38,10,10,0,10,65,49,22,0,0,0,0,0,0,0,21,10,0,0,14,11,0,0,26,0,0,0,14,25,33,51,0,14,34,14,0,83,252,0,20171010
20171011,14,42,412,20,7,36,0,58,11,0,20,49,11,165,5,0,60,117,30,0,0,49,31,0,0,28,0,10,0,21,31,11,7,0,0,43,10,106,21,7,11,0,0,14,35,12,0,62,90,31,10,0,0,0,0,21,7,25,0,0,11,0,0,0,0,65,10,0,50,11,34,0,0,10,28,11,0,11,21,21,41,0,0,10,64,0,155,227,0,20171011
20171017,14,42,492,20,22,33,0,69,11,0,10,10,11,124,5,0,60,69,51,0,14,24,45,0,0,42,0,0,0,57,7,14,7,0,0,54,38,55,10,7,11,0,14,12,48,11,0,36,50,31,10,26,11,0,0,10,21,14,0,0,21,0,0,0,14,11,10,0,40,11,22,0,0,10,0,0,0,24,10,0,41,0,0,36,120,0,169,238,0,20171017
20171018,14,42,492,20,22,33,0,69,11,0,10,10,11,124,5,0,60,69,51,0,14,24,45,0,0,42,0,0,0,57,7,14,7,0,0,54,38,55,10,7,11,0,14,12,48,11,0,36,50,31,10,26,11,0,0,10,21,14,0,0,21,0,0,0,14,11,10,0,40,11,22,0,0,10,0,0,0,24,10,0,41,0,0,36,120,0,169,238,0,20171018
20171025,14,70,473,7,21,75,14,132,11,0,0,11,11,43,5,11,60,49,31,0,0,89,82,0,10,0,0,0,39,58,7,35,18,10,0,26,11,45,34,21,21,22,25,37,35,28,0,14,54,31,10,37,0,14,21,0,21,27,0,0,23,0,0,0,26,0,10,0,0,0,0,0,0,24,0,14,14,10,0,51,41,14,14,71,10,11,109,227,0,20171025
20171026,14,70,473,7,21,75,14,132,11,0,0,11,11,43,5,11,60,49,31,0,0,89,82,0,10,0,0,0,39,58,7,35,18,10,0,26,11,45,34,21,21,22,25,37,35,28,0,14,54,31,10,37,0,14,21,0,21,27,0,0,23,0,0,0,26,0,10,0,0,0,0,0,0,24,0,14,14,10,0,51,41,14,14,71,10,11,109,227,0,20171026
20171027,14,70,473,7,21,75,14,132,11,0,0,11,11,43,5,11,60,49,31,0,0,89,82,0,10,0,0,0,39,58,7,35,18,10,0,26,11,45,34,21,21,22,25,37,35,28,0,14,54,31,10,37,0,14,21,0,21,27,0,0,23,0,0,0,26,0,10,0,0,0,0,0,0,24,0,14,14,10,0,51,41,14,14,71,10,11,109,227,0,20171027
20171028,14,70,473,7,21,75,14,132,11,0,0,11,11,43,5,11,60,49,31,0,0,89,82,0,10,0,0,0,39,58,7,35,18,10,0,26,11,45,34,21,21,22,25,37,35,28,0,14,54,31,10,37,0,14,21,0,21,27,0,0,23,0,0,0,26,0,10,0,0,0,0,0,0,24,0,14,14,10,0,51,41,14,14,71,10,11,109,227,0,20171028
